title,speaker,description
Доклады,,
GenAI и большие языковые модели (LLM),,Яндекс
AI-ответы в Яндекс Поиске: как увеличить счастье пользователей и сэкономить GPU,,Яндекс
Темная сторона открытых нейросетей,,СберТех
Создание ML-планировщика движения для робота доставщика,,Автономный транспорт
"Заселение без фронт-деска, или Как построить бесконтактный сервис в сети отелей на основе RAG",,Raft
Агентный подход к матчингу товаров с помощью LLM,,Wildberries & Russ
"Как перевести разметку на генеративные модели, не уронив качество и стабильность",,Yandex Crowd Solutions
Как RAG ускоряет поддержку RUTUBE: от гибридного поиска до мониторинга галлюцинаций,,RUTUBE
Больше не значит медленнее: практики инференса больших LLM,,Сбер
"vLLM, LoRA и GPU-кластеры: техническая анатомия обогащения поисковой выдачи Авито мультимодальными моделями",,Авито
Безопасное взаимодействие с GenAI. Проблемы и кейсы с применением шлюза безопасности AI Platform V SOWA,,СберТех
💻 Воркшоп «Разработка ИИ-агентов с использованием MCP-серверов»,,Wormsoft
"Строительные блоки LLM‑агентов: планировщик, память, RAG и рабочие цепочки",,Компания «Тантор Лабс»
AI-агенты для рынка недвижимости: от чат-бота до мультиагентной системы,,Домклик
Как устроены данные GigaChat: петабайты текстов и триллионы токенов,,Сбер
Как сохранить высокую надежность при GenAI-трансформации,,Сбер
Разработка AI-агентов: с нуля до мультиагентной системы антифрода,,Сбер/АБТ
Архитектура и масштабируемость,,Райффайзен Банк
In-memory-поисковый движок вместо OpenSearch — система проверки SWIFT-платежей своими руками,,Райффайзен Банк
💻 Воркшоп: «Ломаем геораспределенный Postgres на базе Patroni»,,Genesis Core
Ревью архитектурных изменений без шума и пыли,,Яндекс Лавка
Как писать платежные интеграции на конечных автоматах и не умереть,,Яндекс
Архитектура современной антифрод-системы,,xStack
Выжимаем облака досуха: как свое железо экономит 90% затрат на большие данные для стартапа,,Антиплагиат
Подводные камни DLP-систем: архитектурный анализ,,ГК Солар
Enterprise Architecture on a Page: новый фреймворк для корпоративной архитектуры,,ВШЭ
"Эволюция архитектуры платежной системы: сохраняем SLA 99,99 при росте нагрузки в 30 раз",,ЕДИНЫЙ ЦУПИС
Зеркала не врут: Traffic Mirroring в OVN,,K2 Cloud
DDoS на серверсайд: как мы выжили при x3-нагрузке с ограниченными ресурсами,,"VK, VK Реклама"
"Восстание машин, или Как хранилища Sage на новое железо заезжали",,T-Банк
Эволюция Kafka as a Service: от факапа до чилаута,,РСХБ.цифра
"Сетевые нереплицируемые диски в облаке: почему, как, а главное — зачем?",,K2 Cloud
RAG → GraphRAG → LightRAG: как мы трижды переписывали медицинский AI и кратно снизили издержки,,Raft
Как масштабируются блокчейны,,MixBytes
"Масштабная событийка на практике: пайплайны, ретраи, DLQ и неочевидные сложности",,Яндекс Go
От автоматизации к платформе: эволюция управления инфраструктурой в Sage,,Т-Банк
Планировщик рейта запросов,,Яндекс Еда
Очереди на PostgreSQL: антипаттерн или реальность жизни?,,Яндекс 360
"OVN, техдолг и распределенка: переносим функции облачной сети в SDN из LXC",,K2 Cloud
От стартапа к highload-приложению — технические вызовы мобильного приложения «Пятерочка» на пути к 10k RPS и 25 млн пользователей,,X5 Tech
Performance-driven Development: как сделать торговую систему с минимальными задержками,,AlphaNova
"Программный съем трафика на скорости 400 Gbps: опыт, оптимизации и неочевидные решения",,Группа компаний «Гарда»
За гранью очередей: RabbitMQ 4 и его темная сторона stream'ов,,CDEK
Transaction Outbox под нагрузкой: как не потерять ни одного события при 100k+ RPS,,Altenar
"Как поиск авиабилетов в Туту обрабатывает 10000 предложений в секунду: вызовы, архитектура, кейсы оптимизации",,Туту
Как мы в Яндекс Еде за 3 месяца построили свой рекламный движок с нуля,,Яндекс Еда
Реалтайм-аналитика в распределенной системе,,Яндекс Go
От одного контейнера до 4000 RPS: как мы масштабировали GitLab в трех дата-центрах,,МТС Web Services (MWS)
Антипаттерн как фича: кросс-неймспейсный garbage collector в Kubernetes,,РСХБ.цифра
Интеллектуальное кеширование: можем ли мы научить backend предсказывать будущее,,Ви.Tech
