event_url,page_url,speaker_or_title,description
https://ctoconf.ru/,https://ctoconf.ru/2025/abstracts/id6027025,Мнение Программного комитета о докладе,"Интересный и практичный доклад для технических директоров, которым надо оперативно оценить компанию. Обычно время на это ограничено, а информации может быть слишком много, поэтому важно задавать правильные вопросы и правильным людям. Докладчик расскажет о том, как правильно выстроить этот процесс."
https://ctoconf.ru/,https://ctoconf.ru/2025/abstracts/id6027025,Целевая аудитория,
https://ctoconf.ru/,https://ctoconf.ru/2025/abstracts/id6027025,Тезисы,"Ваша компания собирается купить разработчика ПО и вам, как CTO, нужно быстро оценить состояние разработки, вы вышли на новую работу и нужно выявить самые больные места в разработке? На что смотреть в первую очередь и какие вопросы задавать.

В практике СТО может возникнуть ситуация, когда необходимо оперативно провести глобальную оценку или чек-ап разработки: вы перешли в новую компанию и нужно быстро во всем разобраться, появился запрос на изменение подходов к разработке, или ваша компания собралась покупать другую и нужно понять, что там внутри. Пошагово разберемся, что нужно делать в таких случаях и почему изучение исходного кода – не первый приоритет. В докладе расскажем, какие вопросы нужно задать себе, разработчикам, менеджерам и мирозданию, чтобы провести оценку, найти плюсы, минусы, подводные камни и пойти вместе в светлое будущее."
https://ctoconf.ru/,https://ctoconf.ru/2025/abstracts/id6027025,Другие доклады секции,Взаимодействие с бизнесом
https://ctoconf.ru/,https://ctoconf.ru/2025/abstracts/id6027025,Быть в курсе обновлений программы,
https://ctoconf.ru/,https://ctoconf.ru/2025/abstracts/id6027025,"Иметь ранний доступ к расшифровкам, видео и другим полезным материалам.",
https://ctoconf.ru/,https://ctoconf.ru/2025/abstracts/id6027025,Есть вопросы — обращайтесь:,"Орг. комитет: org@ontico.ru
Партнерство: partners@ontico.ru
Программный комитет: speakers@ontico.ru
Инфопартнерство: marketing@ontico.team
Поддержка и вопросы оплаты: +7 (495) 646-07-68, support@ontico.ru, @ontico_support"
https://ctoconf.ru/,https://ctoconf.ru/2025/abstracts/id6027025,Мы используем файлы cookie,"Сайт использует файлы cookie для эффективной работы. Продолжая использование сайта, вы соглашаетесь с использованием файлов cookie. Узнать подробнее."
https://ctoconf.ru/,https://ctoconf.ru/2025/abstracts/id6032801,Мнение Программного комитета о докладе,"Всеволод Викулин из Яндекса постарается своим докладом помочь вам не похоронить бюджет, внедряя LLM вслепую. Без лишнего хайпа, руководствуясь лишь практикой и здравым смыслом, Всеволод поможет понять, нужно ли в вашем случае внедрять LLM и, если да, то какими тактиками и стратегиями пользоваться."
https://ctoconf.ru/,https://ctoconf.ru/2025/abstracts/id6032801,Целевая аудитория,
https://ctoconf.ru/,https://ctoconf.ru/2025/abstracts/id6032801,Тезисы,"Всем ли нужны эти LLM? Как LLM может помочь бизнесу? Как не похоронить миллионы денег в разработку, результатом которой будет только гордая публикация на сайте «Мы внедрили ИИ».

В докладе мы разберемся, кому, зачем и как стоит внедрять LLM в свой продукт.

Посмотрим отличия LLM от других ИИ-моделей и на то, какие преимущества эти отличия нам дают. Обсудим самые популярные кейсы применения LLM. Разберем, как быстро проверять гипотезы, не тратя огромные бюджеты, и как потом эти гипотезы развивать, когда их ценность уже понятна."
https://ctoconf.ru/,https://ctoconf.ru/2025/abstracts/id6032801,Другие доклады секции,Технологии и процессы
https://ctoconf.ru/,https://ctoconf.ru/2025/abstracts/id6032801,Быть в курсе обновлений программы,
https://ctoconf.ru/,https://ctoconf.ru/2025/abstracts/id6032801,"Иметь ранний доступ к расшифровкам, видео и другим полезным материалам.",
https://ctoconf.ru/,https://ctoconf.ru/2025/abstracts/id6032801,Есть вопросы — обращайтесь:,"Орг. комитет: org@ontico.ru
Партнерство: partners@ontico.ru
Программный комитет: speakers@ontico.ru
Инфопартнерство: marketing@ontico.team
Поддержка и вопросы оплаты: +7 (495) 646-07-68, support@ontico.ru, @ontico_support"
https://ctoconf.ru/,https://ctoconf.ru/2025/abstracts/id6032801,Мы используем файлы cookie,"Сайт использует файлы cookie для эффективной работы. Продолжая использование сайта, вы соглашаетесь с использованием файлов cookie. Узнать подробнее."
https://ctoconf.ru/,https://ctoconf.ru/2025/abstracts/id6053020,Мнение Программного комитета о докладе,"Лично я редко вижу, когда в составлении стратегии будущему по-честному уделяется внимание. Обычно пишут что-то вроде «рынок будет расти, придет AI». Александр расскажет много полезного, но особенно хочу отметить рассказ о том, как правильно варить будущее."
https://ctoconf.ru/,https://ctoconf.ru/2025/abstracts/id6053020,Целевая аудитория,
https://ctoconf.ru/,https://ctoconf.ru/2025/abstracts/id6053020,Тезисы,"В 2020 году лидерская команда Авито. Тех сформулировала первую версию технологической стратегии компании. Она была ясной и понятной, но вместе с этим очень прямолинейной, фактически постулируя, что завтра сервисы станут еще более надежными, система более защищенной, платформа более удобной и т. д. Следующие версии упорно наследовали линейную природу своего предка.

Мы осознали, что у нас не получается сформулировать прорывную техническую стратегию, так как стратегическое мышление лидерской команды остается на операционном уровне, и мы не уделяем должного внимания тренировке своих «стратегических мышц» и навыка «заглянуть в будущее». Немалое время ушло на тренировки, и в итоге мы построили свой механизм управления стратегией, а последняя версия стратегии обзавелась понятным образом будущего Теха, стала вариативной и в ней появились возможные сценарии развития.

Я поделюсь практикой работы с будущим и постараюсь раскрыть традиционные слабые места стратегирования на основе нашего опыта. Ожидаю, что, используя полученные знания, вы сможете сделать вашу стратегию зрелой и исполнимой."
https://ctoconf.ru/,https://ctoconf.ru/2025/abstracts/id6053020,Другие доклады секции,Взаимодействие с бизнесом
https://ctoconf.ru/,https://ctoconf.ru/2025/abstracts/id6053020,Быть в курсе обновлений программы,
https://ctoconf.ru/,https://ctoconf.ru/2025/abstracts/id6053020,"Иметь ранний доступ к расшифровкам, видео и другим полезным материалам.",
